subject_id,cjv,cnr,efc,fber,fwhm_avg,fwhm_x,fwhm_y,fwhm_z,icvs_csf,icvs_gm,icvs_wm,inu_med,inu_range,qi_1,qi_2,rpve_csf,rpve_gm,rpve_wm,size_x,size_y,size_z,snr_csf,snr_gm,snr_total,snr_wm,snrd_csf,snrd_gm,snrd_total,snrd_wm,spacing_x,spacing_y,spacing_z,summary_bg_k,summary_bg_mean,summary_bg_p05,summary_bg_p95,summary_bg_stdv,summary_csf_k,summary_csf_mean,summary_csf_p05,summary_csf_p95,summary_csf_stdv,summary_gm_k,summary_gm_mean,summary_gm_p05,summary_gm_p95,summary_gm_stdv,summary_wm_k,summary_wm_mean,summary_wm_p05,summary_wm_p95,summary_wm_stdv,tpm_overlap_csf,tpm_overlap_gm,tpm_overlap_wm,wm2max
10624,0.547427475452,12.7692871094,0.522893034103,20.1687698364,3.18483,3.20767,3.32124,3.03226,0.177103578064,0.434598438259,0.388297983676,1.03543543816,0.397679510713,0.0,0.0124824934184,102566.984375,195880.984375,83677.4375,176,256,256,2.46606185158,8.49005520788,9.16474296177,16.5381118259,20.1071257783,39.475924196,39.100362148,57.7180364697,1.0,1.0,1.0,535.835999547,4.53868293762,0.0,11.0,4.37604045868,3.46562749153,111.47769165,47.0,170.0,39.743473053,-0.327791807131,202.121002197,149.0,268.0,36.2457847595,-0.363596993271,302.392578125,237.0,369.0,40.0830116272,0.235454398502,0.530293439234,0.593852783059,0.588803088803
10629,0.575732946396,12.2113924026,0.526718652416,27.7807865143,3.25167,3.2647,3.4899,3.01761,0.18175180567,0.420015344586,0.398232849744,1.13038444519,0.42664731741,8.05273190018e-06,0.00400673093726,96943.28125,194518.046875,79075.8828125,176,256,256,3.1135701311,8.92232353727,9.26403912442,15.7562237049,24.2687418574,40.481308139,40.9235361371,58.0205584148,1.0,1.0,1.0,178.498323892,4.92568540573,0.0,12.0,4.84882879257,1.9396995304,132.241882324,66.0,187.0,37.6811485291,-0.245637136066,217.329376221,162.0,286.0,37.419090271,-0.363794745271,316.861907959,251.0,387.0,41.3267555237,0.226773604912,0.534435585666,0.611571427124,0.623046875
10631,0.544597566128,14.1872196198,0.471133360141,31.6790542603,3.39929,3.45858,3.63807,3.12173,0.189141810323,0.407520957184,0.403337232494,0.971180438995,0.348164874315,0.0,0.00355203191681,79382.09375,156105.078125,56426.5351562,176,256,256,2.89181910629,8.57895873588,10.1664705477,19.0286338009,25.4802746002,46.3795446382,45.8253854711,65.616337175,1.0,1.0,1.0,55.7083803572,5.73097324371,0.0,14.0,4.65991640091,0.761358202482,181.284317017,88.0,263.0,54.5826416016,-0.264633422631,308.770965576,233.0,401.0,50.9160308838,-0.383893020571,455.044464111,364.0,543.0,54.424987793,0.221728884787,0.524436797462,0.621627642048,0.771285475793
10638,0.581762373447,12.869559288,0.498477348191,17.38438797,3.1167,3.171,3.26177,2.92708,0.2038862391,0.398014271287,0.398099489614,1.06872057915,0.309411793947,0.0,0.00515348910333,82978.34375,153642.890625,63960.203125,176,256,256,3.34421738228,8.29147908801,9.18592793967,15.9220873487,23.2952598208,40.4309417636,40.7150335923,58.4188991924,1.0,1.0,1.0,98.2217894583,4.76357412338,0.0,12.0,4.05975580215,0.969488549155,118.624320984,56.0,172.0,36.3129005432,-0.376651135791,206.294448853,154.0,265.0,33.5085067749,-0.398213740207,301.854980469,242.0,360.0,36.0134277344,0.188733073654,0.499625486213,0.613803585513,0.567717996289
10668,0.524837970734,12.7335681915,0.474731713999,34.88646698,3.16225,3.28353,3.23978,2.97257,0.171106298923,0.441980876175,0.386912824902,1.02397847176,0.351422405243,0.000231246639378,0.0067246585513,86453.1796875,158604.828125,63964.21875,176,256,256,2.4254241767,8.84724562303,9.60325243793,17.537087514,19.3246165633,38.5884221819,37.8302020835,55.5775675051,1.0,1.0,1.0,188.661616066,5.57059955597,0.0,13.0,5.1403465271,3.65229209824,138.652832031,61.0,206.0,47.1949043274,-0.222437165291,246.819320679,187.0,321.0,40.2567710876,-0.366702358629,367.684082031,294.0,438.0,43.6523857117,0.0478594951269,0.186947316635,0.186057513443,0.727095516569
10672,0.539666652679,13.2664327621,0.473138139607,42.8553504944,3.21218,3.2654,3.42488,2.9636,0.152691538256,0.438547716348,0.408760745396,0.980006098747,0.403506594896,9.74862874068e-06,0.0121025502752,76858.8984375,148886.109375,60149.8007812,176,256,256,2.67683174145,9.47338693986,9.79974207075,17.2490075309,25.1041483871,43.4332256903,43.2827961054,61.3110142387,0.999997913837,1.0,1.0,98.6427626098,4.60566425323,0.0,11.0,3.79401159286,1.87571315189,141.089614868,64.0,208.0,45.4840888977,-0.199763571366,238.147659302,177.0,315.0,41.4912528992,-0.317979219204,351.01373291,275.0,424.0,44.7067070007,0.216057014979,0.537943635635,0.633919192335,0.726899383984
10674,0.518537938595,13.9371547699,0.469674071951,35.8059959412,3.15997,3.24253,3.32921,2.92297,0.165034524679,0.436772203456,0.398193271864,0.982534885406,0.337483033538,0.0,0.00489281955828,80272.4765625,152190.234375,63250.9492188,176,256,256,2.29240886018,8.63520579003,9.61098497826,17.9053402846,20.5689002135,42.2049095816,41.3821420151,61.3726162502,1.0,1.0,1.0,114.504914644,5.56261348724,0.0,13.0,4.52995347977,1.12616221266,148.010726929,61.0,227.0,53.0179100037,-0.360219072976,273.499786377,202.0,357.0,46.9703330994,-0.315618421358,406.724822998,324.0,485.0,48.9210128784,0.235398929481,0.53534983997,0.628820697893,0.674836601307
10678,0.556226491928,12.7297945023,0.489098498537,34.3841094971,3.14842,3.23694,3.32985,2.89546,0.177466534149,0.42687688136,0.395656584491,1.04214000702,0.444251835346,2.01705917065e-05,0.00368434563257,92441.1875,164319.9375,65588.125,176,256,256,2.73720924065,8.78472885135,9.43036567102,16.7691589211,23.0269776215,41.7563847993,41.4412400393,59.5403576972,1.0,1.0,1.0,412.329367258,4.8233537674,0.0,12.0,4.82883310318,1.1104806031,131.177017212,58.0,197.0,43.6719551086,-0.294589112535,230.932113647,166.0,308.0,43.0050468445,-0.405420619286,340.852142334,265.0,418.0,46.4399795532,0.205853197249,0.523661413681,0.624713760924,0.712215320911
10680,0.531013965607,13.4251365662,0.477452592232,74.73878479,3.37979,3.38612,3.56189,3.20102,0.169806092894,0.427345667541,0.402848239564,0.975003004074,0.408061593771,0.0,0.0197025811367,92105.2890625,184899.03125,68591.6640625,176,256,256,3.07337058409,8.77568144452,9.57476690597,16.8752486893,26.2685276974,42.993297923,43.8436795927,62.2692131577,1.0,1.0,1.0,300.901900492,4.63024282455,0.0,11.0,3.92591404915,6.99847699095,139.456634521,69.0,201.0,42.8949203491,-0.21762266718,227.743011475,168.0,304.0,41.1596755981,-0.37559850731,342.779327393,266.0,416.0,45.3523750305,0.224505570228,0.540820542113,0.624314098512,0.684418145957
10686,0.546952307224,12.0223522186,0.497201364027,19.7502994537,3.25115,3.31166,3.39074,3.06036,0.173455488084,0.422571504295,0.403973007621,1.04746603966,0.410729452968,0.0,0.00430515542607,72212.2421875,145443.171875,56157.2773438,176,256,256,2.85789864104,8.32850130995,9.08672411322,16.0737723887,19.7986716746,34.6963108327,34.9870741716,50.4662400075,1.00000500679,1.0,1.0,31.9677981988,4.12114667892,0.0,10.0,3.61027884483,0.998224886165,103.654167175,49.0,149.0,31.2112598419,-0.430152331155,175.522247314,125.0,233.0,32.4466247559,-0.414624737382,258.909576416,199.0,319.0,36.3443107605,0.185456043897,0.484601075847,0.566482541265,0.564935064935
